Sector,Intercept,Coefficient,R^2,P-Value
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-50,-0.06887377859588009,0.9446835581096265,0.413233225670275,8.343117483562242e-16
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-2550,0.10802246413032718,1.141092151655661,0.5219186923711847,2.7894869716868805e-21
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^SP500-3010,0.06904255700998803,0.6386153660311981,0.4362142164933446,7.105020479685284e-17
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^GSPE,0.05430412471541245,0.19665808076651264,0.005371645813144421,0.41853650052218416
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-40,-0.07910232138358604,1.2196662928237676,0.6626024360604952,1.4525677553340305e-30
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-35,0.06542785572142149,0.774534593764088,0.5042417536843667,2.5979971555004037e-20
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-20,-0.02239599347860407,0.9920236319652967,0.8196440184935151,3.3439039534015216e-47
^SP500-15,-0.09714820559386889,1.1629369401915914,0.8313034056175909,5.6333631617443295e-49
^SP500-15,-0.09714820559386889,1.1629369401915914,0.8313034056175909,5.6333631617443295e-49
^SP500-15,-0.09714820559386889,1.1629369401915914,0.8313034056175909,5.6333631617443295e-49
^SP500-15,-0.09714820559386889,1.1629369401915914,0.8313034056175909,5.6333631617443295e-49
^SP500-15,-0.09714820559386889,1.1629369401915914,0.8313034056175909,5.6333631617443295e-49
